"Author","Name variants","Affiliation","Level 1","Level 2","Level 3","Scopus Author ID","PBN ID"
"Doman, Ryszard",,"Mickiewicza","Wydział Matematyki i Informatyki UAM","Matematyka WMI UAM","Pracownia Ekonometrii Finansowej",16446752900,1480303
"Płuciennik, Piotr",,"Mickiewicza","Wydział Matematyki i Informatyki UAM","Matematyka WMI UAM","Pracownia Ekonometrii Finansowej",55676503500,3934775
"Czarnowski, Roman",,"Mickiewicza","Wydział Matematyki i Informatyki UAM","Matematyka WMI UAM","Zakład Algebry i Teorii Liczb",,
"Gierszewski, Karol",,"Mickiewicza","Wydział Matematyki i Informatyki UAM","Matematyka WMI UAM","Zakład Algebry i Teorii Liczb",56014593400,
"Grześkowiak, Maciej",,"Mickiewicza","Wydział Matematyki i Informatyki UAM","Matematyka WMI UAM","Zakład Algebry i Teorii Liczb",15135891900,1480328
"Kaczorowski, Jerzy",,"Mickiewicza","Wydział Matematyki i Informatyki UAM","Matematyka WMI UAM","Zakład Algebry i Teorii Liczb",56235220100,969486
"Łydka, Adrian",,"Mickiewicza","Wydział Matematyki i Informatyki UAM","Matematyka WMI UAM","Zakład Algebry i Teorii Liczb",56125846100,1480357
"Mance, Bill",,"Mickiewicza","Wydział Matematyki i Informatyki UAM","Matematyka WMI UAM","Zakład Algebry i Teorii Liczb",35764782200,
"Pańkowski, Łukasz",,"Mickiewicza","Wydział Matematyki i Informatyki UAM","Matematyka WMI UAM","Zakład Algebry i Teorii Liczb",23489863400,1480364
"Radziejewski, Maciej",,"Mickiewicza","Wydział Matematyki i Informatyki UAM","Matematyka WMI UAM","Zakład Algebry i Teorii Liczb",6506055191,1480321
"Rutkowski, Jerzy",,"Mickiewicza","Wydział Matematyki i Informatyki UAM","Matematyka WMI UAM","Zakład Algebry i Teorii Liczb",,
"Werbiński, Tadeusz",,"Mickiewicza","Wydział Matematyki i Informatyki UAM","Matematyka WMI UAM","Zakład Algebry i Teorii Liczb",,
"Wiertelak, Kazimierz",,"Mickiewicza","Wydział Matematyki i Informatyki UAM","Matematyka WMI UAM","Zakład Algebry i Teorii Liczb",16403957000,1480305
"Berlińska, Joanna",,"Mickiewicza","Wydział Matematyki i Informatyki UAM","Informatyka WMI UAM","Zakład Algorytmiki i Metod Numerycznych",27367536100,1480369
