title,system-identifier,publication-date,doi,is-conference,journal-title,journal-id-pbn,journal-id-issn,journal-id-eissn,journal-ministerial-list,journal-points,author-given-names,author-family-name,author-id-system,author-id-pbn,author-id-orcid,author-affiliated-to-unit,author-employed-in-unit
On Cops and Robbers on $G^{\Xi}$ and cop-edge critical graphs.,292aa96c-b3ac-4ade-ad7b-364905abe1ac,2017,,,Contributions to Discrete Mathematics,45333,,,A,20,Marcin,Witkowski,,3980572,,TRUE,TRUE
On Cops and Robbers on $G^{\Xi}$ and cop-edge critical graphs.,292aa96c-b3ac-4ade-ad7b-364905abe1ac,2017,,,Contributions to Discrete Mathematics,45333,,,A,20,Łukasz,Witkowski,,,,TRUE,FALSE
On Relations between Non-Archimedean Generalized Power Series Spaces,PX-58dbf381d5de83e77266a56d,2015,,,JOURNAL OF CONVEX ANALYSIS,31165,,,A,30,Wiesław,Śliwa,,1480342,,TRUE,TRUE
(DN)-(Ω)-type conditions for Fréchet operator spaces,202631ec-e1e4-4b64-ab25-7685e7f59634,2013,10.2140/pjm.2013.261.237,,PACIFIC JOURNAL OF MATHEMATICS,23529,,,A,25,Krzysztof,Piszczek,130031,1480347,,TRUE,TRUE
1-Local 33/24-Competitive Algorithm for Multicoloring Hexagonal Graphs,58c3abda-2b1b-4818-b89f-be56effc9887,2013,,,DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE,,47793,,A,20,Rafał Michał,Witkowski,,1480367,,TRUE,TRUE
\(L^{p}\)-Norms and Mahler’s Measure of Polynomials on the n-Dimensional Torus,b88d2480-77fa-4cca-a9ce-65390b219810,2016,10.1007/s00365-015-9319-x,,CONSTRUCTIVE APPROXIMATION,,26351,26351,A,45,Mieczysław,Mastyło,,971105,,TRUE,TRUE
A  Survey and Analysis of the GNSS Spoofing Threat and Countermeasures,e5690fac-24a6-4a1a-99f2-df71d1741182,2016,10.1145/2897166,,ACM COMPUTING SURVEYS,28397,,,A,50,Michał Krzysztof,Ren,,1480354,,TRUE,TRUE
A bijection for rooted maps on general surfaces,eed5694d-ecf6-4bd5-bd59-57cdd2874962,2017,10.1016/j.jcta.2016.08.001,,JOURNAL OF COMBINATORIAL THEORY SERIES A,25272,,,A,35,Maciej Wojciech,Dołęga,,3963624,,TRUE,TRUE
A Cognitive Theory-Driven Orientation of Indonesian Math Lessons,257319de-d80c-4c5a-935d-1b77fb95329a,2014,10.22342/jme.5.2.1501.170-190,,Journal on Mathematics Education,,,,,,Edyta Agnieszka,Nowińska,,1480361,,TRUE,TRUE
A comparison of tests for the one-way ANOVA problem for functional data,07a1f413-2953-4d32-bf61-406ad5af2982,2015,10.1007/s00180-015-0555-0,,COMPUTATIONAL STATISTICS,,31146,31146,A,20,Łukasz,Smaga,200621,3993619,,TRUE,TRUE
A comparison of tests for the one-way ANOVA problem for functional data,07a1f413-2953-4d32-bf61-406ad5af2982,2015,10.1007/s00180-015-0555-0,,COMPUTATIONAL STATISTICS,,31146,31146,A,20,Tomasz Dariusz,Górecki,,924005,,TRUE,TRUE
A geometric criterion for compactness of invariant subspaces,fa97a1cf-4b80-4c2d-973e-e4338ee7f5c1,2013,10.1007/s00013-013-0554-8,,ARCHIV DER MATHEMATIK,,21506,21506,A,20,Leszek,Skrzypczak,027225,1480337,,TRUE,TRUE
A hierarchy of maximal intersecting triple systems,eab9dbd2-52e2-4104-b6cb-f54d2312d7b8,2017,10.7494/OpMath.2017.37.4.597,,Opuscula Mathematica,35017,,,B,11,Joanna,Polcyn-Lewandowska,,1480370,,TRUE,TRUE
A hierarchy of maximal intersecting triple systems,eab9dbd2-52e2-4104-b6cb-f54d2312d7b8,2017,10.7494/OpMath.2017.37.4.597,,Opuscula Mathematica,35017,,,B,11,Andrzej,Ruciński,,1480332,,TRUE,TRUE
A Jordan-like decomposition in the noncommutative Schwartz space,1cda3923-2cf9-449f-b6e6-875467e85371,2015,10.1017/S0004972714001087,,Bulletin of the Australian Mathematical Society,,21622,21622,A,20,Krzysztof,Piszczek,130031,1480347,,TRUE,TRUE
A kernel-based learning algorithm combining kernel discriminant coordinates and kernel principal components,016223da-4c97-4f39-a98e-682072c8fc9c,2014,10.2478/bile-2014-0005,,Biometrical Letters,41334,,,B,12,Mirosław,Krzyśko,027331,915410,,TRUE,TRUE
A learning algorithm combining functional discriminant coordinates and functional principal components,7c053fec-ae90-422c-a3a7-01a867334274,2014,10.7151/dmps1163,,Discussiones Mathematicae Probability and Statistics,,43092,43092,B,10,Tomasz Dariusz,Górecki,,924005,,TRUE,TRUE
A learning algorithm combining functional discriminant coordinates and functional principal components,7c053fec-ae90-422c-a3a7-01a867334274,2014,10.7151/dmps1163,,Discussiones Mathematicae Probability and Statistics,,43092,43092,B,10,Mirosław,Krzyśko,027331,915410,,TRUE,TRUE
A linear bound on the dimension in Green-Ruzsa's theorem,PBN-R:267175,2013,10.1016/j.jnt.2012.09.012,,JOURNAL OF NUMBER THEORY,22954,,,A,20,Tomasz,Schoen,,1480313,,TRUE,TRUE
