title,system-identifier,publication-date,doi,is-conference,author-given-names,author-family-name,author-id-system,author-id-pbn,author-id-orcid,author-affiliated-to-unit,author-employed-in-unit,is-author,is-editor
",,Homer'' czyli R-2. Jacek Fisiak jako tajny wspópracownik Służby Bezpieczeństwa.",08bc7846-11a1-4871-a537-1e4213d5ce1b,2018,,,Kazimierz,Świrydowicz,,1480299,,TRUE,TRUE,TRUE,FALSE
Dynamika zależności na globalnym rynku finansowym,PBN-R:612760,2014,,,Ryszard,Doman,,1480303,,TRUE,TRUE,TRUE,FALSE
"European Congress of Mathematics, Kraków, 2-7 July, 2012",PBN-R:513001,2014,,TRUE,Andrzej,Ruciński,,1480332,,TRUE,TRUE,FALSE,TRUE
Extended Abstracts of the Second International Workshop on Dynamic Scheduling Problems,74d1107a-eb2b-47cb-a28a-e4dffebd7268,2018,,TRUE,Stanisław Jan,Gawiejnowicz,,3934774,,TRUE,TRUE,TRUE,TRUE
Extended Abstracts of the Second International Workshop on Dynamic Scheduling Problems,74d1107a-eb2b-47cb-a28a-e4dffebd7268,2018,,TRUE,Joanna Helena,Berlińska,,1480369,,TRUE,TRUE,TRUE,FALSE
Extended Abstracts of the Second International Workshop on Dynamic Scheduling Problems,74d1107a-eb2b-47cb-a28a-e4dffebd7268,2018,,TRUE,Wiesław,Kurc,,1480276,,TRUE,,TRUE,FALSE
Extended Abstracts of the Second International Workshop on Dynamic Scheduling Problems,74d1107a-eb2b-47cb-a28a-e4dffebd7268,2018,,TRUE,Bartłomiej,Przybylski,,4021410,,TRUE,,TRUE,FALSE
Filozofia informatyki. Antologia,4a9400f5-e41b-4dbd-8c63-ca68d7444323,2014,,,Roman,Murawski,021531,1480282,,TRUE,TRUE,TRUE,FALSE
Filozofia matematyki i informatyki,0942fd16-324b-47fe-8cd1-9ef50b1b1706,2015,,,Roman,Murawski,,1480282,,TRUE,TRUE,TRUE,FALSE
Filozofia matematyki. Zarys dziejów,21c44b1f-5bb9-4ed7-9f26-aeeb174435b8,2017,,,Roman,Murawski,,1480282,,TRUE,TRUE,TRUE,FALSE
Filozofia matematyki. Zarys dziejów,c9a0fbb4-0e1c-4e1a-87dd-1a384ce01439,2013,,,Roman,Murawski,021531,1480282,,TRUE,TRUE,TRUE,FALSE
"Gramatyka fonetyczna w ujęciu aksjomatycznej teorii języka. Analiza komputerowa języków polskiego, chińskiego i hindi.",0ba4e61a-2df7-4d59-af7d-fadc443ddd0a,2015,,,Krzysztof,Dyczkowski,095073,1480318,,TRUE,TRUE,TRUE,FALSE
"Human Language Technologies as a Challenge for Computer Science and Linguistics, 8th Language & Technology Conference November 17-19, 2017, Poznań, Poland Proceedings",PX-5aa92ce8d5ded291c746d698,2017,,TRUE,Filip,Graliński,,1480349,,TRUE,TRUE,TRUE,FALSE
"Human Language Technologies as a Challenge for Computer Science and Linguistics, 8th Language & Technology Conference November 17-19, 2017, Poznań, Poland Proceedings",PX-5aa92ce8d5ded291c746d698,2017,,TRUE,Krzysztof,Jassem,,922753,,TRUE,TRUE,TRUE,FALSE
"Human Language Technologies as a Challenge for Computer Science and Linguistics, 8th Language & Technology Conference November 17-19, 2017, Poznań, Poland Proceedings",PX-5aa92ce8d5ded291c746d698,2017,,TRUE,Rafał Tomasz,Jaworski,,3957889,,TRUE,TRUE,TRUE,FALSE
"Human Language Technologies as a Challenge for Computer Science and Linguistics, 8th Language & Technology Conference November 17-19, 2017, Poznań, Poland Proceedings",PX-5aa92ce8d5ded291c746d698,2017,,TRUE,Marek Damian,Kubis,,3993618,,TRUE,TRUE,TRUE,FALSE
"Human Language Technologies as a Challenge for Computer Science and Linguistics, 8th Language & Technology Conference November 17-19, 2017, Poznań, Poland Proceedings",PX-5aa92ce8d5ded291c746d698,2017,,TRUE,Tomasz Marek,Obrębski,,3934772,,TRUE,TRUE,TRUE,FALSE
"Human Language Technologies as a Challenge for Computer Science and Linguistics, 8th Language & Technology Conference November 17-19, 2017, Poznań, Poland Proceedings",PX-5aa92ce8d5ded291c746d698,2017,,TRUE,Paweł Marek,Skórzewski,,3980677,,TRUE,TRUE,TRUE,FALSE
"Human Language Technologies as a Challenge for Computer Science and Linguistics, 8th Language & Technology Conference November 17-19, 2017, Poznań, Poland Proceedings",PX-5aa92ce8d5ded291c746d698,2017,,TRUE,Zygmunt,Vetulani,,1210265,,TRUE,TRUE,TRUE,TRUE
"Human Language Technology Challenges for Computer Science and Linguistics. 5th Language and Technology Conference, LTC 2011, Poznań, Poland, November 25--27, 2011, Revised Selected Papers",263ed08b-446e-4a91-a4d3-5a753009fb13,2014,,TRUE,Krzysztof,Jassem,,922753,,TRUE,TRUE,TRUE,FALSE
"Human Language Technology Challenges for Computer Science and Linguistics. 5th Language and Technology Conference, LTC 2011, Poznań, Poland, November 25--27, 2011, Revised Selected Papers",263ed08b-446e-4a91-a4d3-5a753009fb13,2014,,TRUE,Marek Damian,Kubis,,3993618,,TRUE,TRUE,TRUE,FALSE
"Human Language Technology Challenges for Computer Science and Linguistics. 5th Language and Technology Conference, LTC 2011, Poznań, Poland, November 25--27, 2011, Revised Selected Papers",263ed08b-446e-4a91-a4d3-5a753009fb13,2014,,TRUE,Jacek,Marciniak,,3934773,,TRUE,TRUE,TRUE,FALSE
