title,system-identifier,publication-date,doi,is-conference,book-title,author-given-names,author-family-name,author-id-system,author-id-pbn,author-id-orcid,author-affiliated-to-unit,author-employed-in-unit
Deterministic Dependency Parsing with Head Assignment Revision,PX-58d423a7d5dea70817e8ffb5,2013,,,Deterministic Dependency Parsing with Head Assignment Revision,Tomasz Marek,Obrębski,,3934772,,TRUE,TRUE
Deterministic Dependency Parsing with Head Assignment Revision,PX-58d423a7d5dea70817e8ffb5,2013,,,Deterministic Dependency Parsing with Head Assignment Revision,Krzysztof,Jassem,,922753,,TRUE,TRUE
Deterministic Dependency Parsing with Head Assignment Revision,PX-58d423a7d5dea70817e8ffb5,2013,,,Deterministic Dependency Parsing with Head Assignment Revision,Zygmunt,Vetulani,,1210265,,TRUE,TRUE
Deterministic Dependency Parsing with Head Assignment Revision,PX-58d423a7d5dea70817e8ffb5,2013,,,Deterministic Dependency Parsing with Head Assignment Revision,Paweł Marek,Skórzewski,,3980677,,TRUE,FALSE
(Temporal) Language Models as a Competitive Challenge,e19da5dd-6771-472b-91f2-010188c798a5,2017,,TRUE,(Temporal) Language Models as a Competitive Challenge,Filip,Graliński,,1480349,,TRUE,TRUE
3D mapping of organic layers by means of CPTU and statistical data analysis,262857e9-9be3-4efe-b5f4-1d715e3f264f,2017,,,3D mapping of organic layers by means of CPTU and statistical data analysis,Jędrzej,Wierzbicki,,1550816,,TRUE,FALSE
3D mapping of organic layers by means of CPTU and statistical data analysis,262857e9-9be3-4efe-b5f4-1d715e3f264f,2017,,,3D mapping of organic layers by means of CPTU and statistical data analysis,Agnieszka,Smaga,,,,TRUE,FALSE
3D mapping of organic layers by means of CPTU and statistical data analysis,262857e9-9be3-4efe-b5f4-1d715e3f264f,2017,,,3D mapping of organic layers by means of CPTU and statistical data analysis,Katarzyna,Stefaniak,,1697834,,TRUE,FALSE
3D mapping of organic layers by means of CPTU and statistical data analysis,262857e9-9be3-4efe-b5f4-1d715e3f264f,2017,,,3D mapping of organic layers by means of CPTU and statistical data analysis,Waldemar,Wołyński,027270,923993,,TRUE,TRUE
A Copula Approach to Backward-Looking Factors in Market Based Inflation Expectations,WOS:000412819500007,2017,10.1007/978-3-319-54885-2_7,,A Copula Approach to Backward-Looking Factors in Market Based Inflation Expectations,Piotr,Pluciennik,,,,TRUE,TRUE
A Copula Approach to Backward-Looking Factors in Market Based Inflation Expectations,WOS:000412819500007,2017,10.1007/978-3-319-54885-2_7,,A Copula Approach to Backward-Looking Factors in Market Based Inflation Expectations,Magdalena,Szyszko,,,,,
A Decision-Making Model in an IVFS Environment Based on Sigma f-Count Cardinality,f274839b-2af8-49f2-be9f-306c776ed5ad,2017,10.1007/978-3-319-65545-1_11,TRUE,A Decision-Making Model in an IVFS Environment Based on Sigma f-Count Cardinality,Krzysztof,Dyczkowski,,1480318,,TRUE,TRUE
A Decision-Making Model in an IVFS Environment Based on Sigma f-Count Cardinality,f274839b-2af8-49f2-be9f-306c776ed5ad,2017,10.1007/978-3-319-65545-1_11,TRUE,A Decision-Making Model in an IVFS Environment Based on Sigma f-Count Cardinality,Anna,Stachowiak,,1480351,,TRUE,TRUE
