"Name","Publications","Citations","h-index","Scopus Author ID"
"Antoniuk, Sylwia",3,3,2,41761106300
"Banaszak, Grzegorz",3,4,7,56017372900
"Banaszak, Justyna",2,0,1,6603926221
"Barańczuk, Stefan",3,1,3,13606208800
"Basiukajc, Katarzyna",1,0,0,57195637027
"Bednarska-Bzdęga, Małgorzata",3,7,8,6603924000
"Berlińska, Joanna",4,8,5,27367536100
"Blinkiewicz, Dorota",2,0,0,57201503830
"Błaszczyk, Zbigniew",4,1,1,55113412500
"Borkowski, Marcin",2,0,3,7006654490
"Bugajewska, Daria",3,1,5,56400939700
"Bugajewski, Dariusz",9,10,9,55971372100
"Burchardt, Adam",1,0,0,57200043629
"Buszkowski, Wojciech",2,1,8,6603431317
"Bystrzycki, Rafał",1,0,0,57201255360
"Bzdęga, Bartłomiej",3,2,4,54683386600
"Carrasquel-Vera, José",2,1,1,57201447051
"Chawziuk, Tadeusz",2,2,1,57115410200
"Ciaś, Tomasz",3,1,1,55924084700
"Cichoń, Mieczysław",10,4,8,7003608372
"Dołęga, Maciej",6,12,4,55193473500
"Doman, Ryszard",1,0,1,16446752900
"Domański, Paweł",8,21,13,55406415600
"Drewnowski, Lech",2,2,5,6506082578
"Dutkiewicz, Aldona",2,0,2,25930806300
"Dyczkowski, Krzysztof",15,71,8,6506202384
"Foralewski, Paweł",2,1,7,6507220605
"Gajda, Wojciech",1,0,7,6603558796
"Garnek, Jędrzej",1,0,0,57195945430
"Gawiejnowicz, Stanisław",2,0,11,6508334910
"Golińska, Anna",2,1,1,57008132000
"Górecki, Tomasz",18,73,10,9732940100
"Graliński, Filip",5,2,3,15042197100
"Grundkiewicz, Roman",3,2,2,55871316500
"Grześkowiak, Maciej",4,3,2,15135891900
"Grzybowski, Jerzy",13,13,4,7005545390
"Hanćkowiak, Michał",3,2,7,56446964700
"Hudzik, Henryk K.",16,22,18,35609253900
"Jackowska-Boryc, Eliza",3,15,2,56856847700
"Jarząbek, Michał",1,1,1,57200042568
"Jasiczak, Michał",5,0,2,6507123282
"Jassem, Krzysztof",3,4,3,6506862359
"Jaworski, Jerzy",3,20,10,7005129803
"Jaworski, Rafał",3,0,1,36696380900
"Junczys-Dowmunt, Marcin",4,10,4,36659282600
"Kaczmarek, Radosław",9,15,4,24436174100
"Kaczorowski, Jerzy",14,16,11,56235220100
"Kalkowski, Maciej",1,1,3,26665519200
"Kaluba, Marek",3,1,1,56957070400
"Karoński, Michał",2,1,11,6701917275
"Kasprzak, Henryk",2,0,0,57194168107
"Kasprzak, Piotr",7,12,4,26634014400
"Katulska, Krystyna",2,0,4,12765780500
"Kąkol, Jerzy",26,63,11,6603901055
"Kończak, Joanna",0,0,0,57209643766
"Kowalewski, Wojciech",7,29,6,8850294600
"Krzyśko, Mirosław",7,10,4,56038568100
"Krzywdziński, Krzysztof",3,3,2,35113471700
"Kubiaczyk, Ireneusz",3,2,6,56070850000
"Kubiak, Tomasz",5,11,9,57025779100
"Kubis, Marek",2,0,3,37060993500
"Kurc, Wiesław",1,0,6,14034397800
"Łuczak, Tomasz",18,19,21,7006153730
"Małecka, Agnieszka",1,1,1,56764068200
"Marciniak, Jacek",1,0,5,7003644376
"Marciniak, Jakub",0,0,0,36245476700
"Marzantowicz, Wacław",5,6,7,6602805246
"Mastyło, Mieczysław S.",18,10,12,6701603794
"Michalak, Artur",5,4,2,35937449400
"Michalak, Łukasz",0,0,0,57205469038
"Mieczkowska, Katarzyna",1,1,2,55293775500
"Migda, Janusz",14,32,8,7801483562
"Mleczko, Paweł",4,1,2,26429745300
"Murawski, Roman",3,0,3,6507192054
"Naskręcki, Bartosz",1,0,1,55847416700
"Nawrocki, Adam",4,2,1,57196460123
"Pałubicki, Wojciech",1,1,3,56575103600
"Pankowska, Lidia",0,0,0,9536023900
"Pankowski, Tadeusz",0,0,0,22433658500
"Pańkowski, Łukasz",9,12,4,23489863400
"Pawluczuk, Łukasz",1,4,1,57115534400
